record_timestamp,machineNo,machine_identifier,machine_serial,screen_saver,language_setting,machine_drive_lr,length_unit_of_measure,weight_unit_of_measure,count_unit_of_measure,yarn_clearer_type,machine_mode,sensor_negtive_pressure,cleaning_fan_interval,cleaning_fan_rounds,tube_conveyor_method,tube_conveyor_interval,tube_conveyor_interval_count,package_unload_belt,division_amount,position_amount,group_amount,day_of_week,class_amount
2015-10-17 16:52:47.687,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,6,3
2015-10-17 16:53:21.230,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,6,3
2015-10-17 16:53:54.997,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,6,3
2015-10-17 16:54:28.583,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 16:55:04.687,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,6,3
2015-10-17 16:55:39.243,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,6,3
2015-10-17 17:01:08.810,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,6,3
2015-10-17 17:04:28.820,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,6,3
2015-10-17 17:10:29.600,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,6,3
2015-10-17 18:07:57.160,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 19:39:09.040,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,6,3
2015-10-17 22:00:36.403,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-18 03:13:40.617,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,0,3
2015-10-18 09:06:59.243,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,0,3
2015-10-18 09:07:33.993,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,0,3
2015-10-18 09:08:08.153,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,0,3
2015-10-18 09:08:42.963,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,0,3
2015-10-18 09:09:17.623,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,0,3
2015-10-18 09:09:52.050,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,0,3
2015-10-18 13:15:54.487,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,0,3
2015-10-18 13:16:30.430,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,0,3
2015-10-18 13:17:05.120,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,0,3
2015-10-18 13:17:39.783,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,0,3
2015-10-18 13:18:14.340,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,0,3
2015-10-18 13:18:49.083,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,0,3
2015-10-18 13:19:23.693,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,0,3
2015-10-18 13:19:58.250,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,0,3
2015-10-18 17:42:58.660,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,0,3
2015-10-18 19:17:54.000,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,0,3
2015-10-19 09:41:02.640,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 09:41:37.630,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 09:42:12.083,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,1,3
2015-10-19 09:42:58.073,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-19 09:43:31.620,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 09:44:06.510,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-19 09:44:40.150,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,1,3
2015-10-19 10:37:04.083,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 13:31:41.103,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,1,3
2015-10-19 14:21:05.753,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-19 14:23:19.967,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,1,3
2015-10-19 14:30:27.227,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 15:01:02.230,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 15:05:23.953,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 16:12:16.310,4,1,0,1,0,0,0,0,1,0,5,50,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 16:20:58.543,8,1,0,1,0,0,0,0,1,0,5,60,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 16:34:01.467,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,1,3
